V3_2		[F15, F45, F3, F34]
V3_1		[F30, F42, F14]
V1_2		[F9, F1, F12, F4, F8, F41, F24, F43, F10, F23]
V2_1		[F17, F13, F19]
V1_1		[F39, F33, F6, F29, F28, F31, F11, F18, F27]
V1		[F5, F36, F37, F26, F25, F20, F35, F21, F46, F2, F32, F47]
V2		[F22, F7, F49, F50, F48, F44]
V3		[F40, F16, F38]

CO2		1020,5138956
Distance	1857,667203
