V3_4		[F16, F20, F5, F3]
V3_3		[F32, F2, F19, F7]
V3_2		[F43, F44, F35, F37, F39]
V3_1		[F25, F36, F8, F13]
V1_2		[F48, F45, F18, F6, F49, F34, F31, F23]
V1_1		[F22, F42, F14, F15, F29, F33, F1]
V1		[F50, F46, F40, F41, F26, F47, F9]
V2		[F38, F28, F10, F17, F21, F4]
V3		[F30, F11, F27, F24, F12]

CO2		1216,8157012
Distance	2323,654001
