V3_2		[F7, F17, F21, F31]
V3_1		[F40, F45, F25]
V1_2		[F9, F35, F42, F1, F47, F41, F38, F50, F39, F44, F26, F10, F24]
V2_1		[F15, F37, F18, F11, F14, F30, F2]
V1_1		[F28, F33, F23, F48, F49, F4, F16, F22]
V1		[F12, F32, F29, F19, F20, F13, F43, F6, F34, F5]
V2		[F8, F27, F46]
V3		[F36, F3]

CO2		976,8469777
Distance	1701,530626
