V3_2		[F47, F40, F4]
V3_1		[F14, F48, F39, F3]
V2_1		[F31, F9, F45, F21, F28, F36]
V1_2		[F43, F20, F41, F24, F25, F30, F18, F26, F44, F50, F33, F1, F16]
V1_1		[F32, F49, F10, F11, F17, F8, F6, F19]
V1		[F42, F2, F23, F5, F38, F27, F15, F37]
V2		[F22, F29, F34, F7, F13]
V3		[F12, F46, F35]

CO2		1387,8951540
Distance	2387,068957
