V3_4		[F20, F48, F16]
V3_3		[F4, F36, F38]
V3_2		[F44, F34, F3, F25, F5]
V3_1		[F1, F26, F21, F28]
V1_2		[F24, F23, F29, F18, F37, F22, F39]
V1_1		[F10, F17, F9, F12, F15, F45, F46, F13, F41]
V1		[F50, F42, F30, F2, F14, F19, F7, F43, F31, F32]
V2		[F11, F33, F49, F6]
V3		[F35, F8, F40, F27, F47]

CO2		1460,3540204
Distance	2664,222842
