V3_4		[F32, F10, F8]
V3_3		[F20, F28, F49, F37, F30, F29]
V3_2		[F2, F1, F45, F24, F16]
V3_1		[F3, F19]
V1_2		[F14, F6, F36, F11, F42, F31, F15, F38, F43]
V2_1		[F50, F21, F41, F33]
V1_1		[F5, F9, F46]
V1		[F44, F22, F39, F26, F25, F27, F40]
V2		[F47, F34, F7, F23, F17]
V3		[F35, F4, F12, F18, F13, F48]

CO2		1347,5099275
Distance	2843,773339
