V2_4		[F8, F17, F41]
V2_3		[F30, F22, F16]
V2_2		[F28, F49, F27, F29, F9]
V2_1		[F19, F13, F40, F15, F31]
V1_1		[F25, F33, F35, F3, F32, F26, F10, F39, F2, F14, F7]
V1		[F5, F48, F44, F46, F42, F6, F47]
V2		[F45, F50, F38, F43, F4, F12, F21, F20, F36, F1, F18]
V3		[F24, F34, F23, F11, F37]

CO2		1187,0345474
Distance	2084,284010
