V3_2		[F50, F44, F40, F23]
V3_1		[F1, F25, F3]
V2_1		[F26, F2, F16, F22, F36]
V1_2		[F35, F19, F30, F48, F39, F32, F45]
V1_1		[F4, F38, F8, F27, F34, F5, F46, F47, F10, F6]
V1		[F15, F37, F17, F43, F24, F20, F13, F49, F18, F31]
V2		[F11, F41, F7, F12, F14, F42]
V3		[F28, F21, F29, F9, F33]

CO2		1203,8836162
Distance	2068,042891
