V3_4		[F1, F4, F11]
V3_3		[F33, F36, F8, F27, F20]
V3_2		[F26, F18, F46, F24]
V3_1		[F30, F25, F43, F12, F34, F14]
V1_2		[F45, F5, F39, F13, F15, F3, F28, F35]
V1_1		[F50, F40, F41, F29, F17, F38, F9, F48]
V1		[F31, F32, F49, F47, F37, F42]
V2		[F22, F2, F19, F6, F23, F16, F44]
V3		[F21, F10, F7]

CO2		1261,9767493
Distance	2427,718357
